StageName,DOW,BirthLast,BirthFirst,Gender,DOB,DOD,Type,Country
Count Basie,dow,Basie,William,M,19aa,,R:musician,USA
Richard Baskin,1975-1976,Baskin,Richard,M,,,unknown,unknown
Alfie Bass,1954-1967,Bass,Alfie,M,19aa,,R:sr,\Ct
Lina Basquette,1916-1928,Basquette,Lena,F,1907,,"R:dancer, rebel",USA
Albert Basserman,1913-1948,Basserman,Albert,M,1867,,R:sympathetic,german
Angela Bassett,1991-1993,Bassett,Angela,F,1958,,R:mother,unknown
Steve Bassett,1983,,,M,,,unknown,unknown
Alexandra Bastedo,1963-1975,Bastedo,Alexandra,F,1946,,R:lead,\Ca-\It-\Br
Alan Bates,1959-1983,Bates,Alan,M,1934,,R:thoughtful tough,british
Barbara Bates,1949,,,F,,,unknown,unknown
Florence Bates,1937-1953,Rabe,Florence,F,1888,,R:matron (friendly or fiendish),USA
Kathy Bates,1982-1990,Bates,Kathy,F,1958,,R:plump,USA
Michael Bates,1955-1977,Bates,Michael,M,1920,,R:stupid policeman,british
Belinda Bauer,1983-1990,,,F,,,R:dancer,USA
Steven Bauer,1983-1986,,,M,,,unknown,unknown
Harry Baur,1910-1942,Baur,Harry,M,1880,,R:celebrated,french
Barbara Baxley,1958-1979,Baxley,Barbara,F,,,R:gorgeous,USA
Alan Baxter,1935-1971,Baxter,Alan,M,1908,,R:colonel,USA
Anne Baxter,1940-1983,Baxter,Ann,F,1923,,"R:shy innocent, cold eyed schemer",USA
Jane Baxter,1932-1951,Forde,Feodora,F,1909,,R:gentle-mannered,british
Warner Baxter,1914-1950,Baxter,Warner,M,1889,,R:distinguished,USA
Sarah Bay,1972,Neri,Rosalba,F,,,unknown,italian
Nathalie Baye,1950-1982,Baye,Nathalie,F,,,unknown,unknown
Gary Bayer,,,,M,,,unknown,unknown
Geoffrey Bayldon,1953-1983,Bayldon,Geoffrey,M,1924,,R:lanky excentric,british
Stephanie Beacham,1969-1980,Beacham,Stephanie,F,1949,,R:lead,british
John Beal,1933-1983,Bliedung,Alexander,M,1909,,R:boyish innocence,USA
Jennifer Beals,,,,F,,,unknown,unknown
Emanuelle Beart,1985-1991,B\'eart,Emanuelle,F,1965,,R:naive beauty,french
The Beatles,1964-1981,The Beatles,,G,1940,,R:pop,british
Ned Beatty,1972-1983,Beatty,Ned,M,1937,,R:chubby,USA
Robert Beatty,1943-1973,Beatty,Robert,M,1909,,R:lead,canada
Warren Beatty,1961-1978,Beaty,Warren,M,1937,,R:pschological maladjustment,USA
Louise Beavers,1929-1961,Beavers,Louise,F,1902,,R:happy housekeeper,USA
John C. Becher,,,,M,,,unknown,unknown
Sidney Bechet,1930,Bechet,Sidney,M,1892,,R:clarinetist,USA
Jenny Beck,1976,Beck,Jennifer,F,1974,,R:daughter,USA
John Beck,1969-1981,Beck,John,M,1943,,R:lead,USA
Kimberly Beck,,,,F,,,unknown,unknown
Michael Beck,1977-1981,Beck,Michael,M,1948,,R:lead,USA
Stanley Beck,,,,M,,,unknown,unknown
Barry Beckerman,,,,M,,,unknown,unknown
Scotty Beckett,1934-1956,Beckett,Scotty,M,1929,,R:soulful-looking,USA
Reginald Beckwith,1941-1965,Beckwith,Reginald,M,1908,,R:high voice,british
Don Beddoe,1939-1969,Beddoe,Don,M,1888,,R:genial look,USA
Bonnie Bedelia,1969-1990,Bedelia,Bonnie,F,1946,,R:lead,USA
Kabir Bedi,1976-1983,Bedi,Kabir,M,1935,,R:lead,india
Alfonso Bedoya,1947-1957,Bedoya,Alfonso,M,1904,,R:beaming face,mexico
Molly Bee,,,,F,,,unknown,unknown
Noah Beery,1918-1946,Beery,Noah,M,1884,,R:villain,USA
Noah Beery~jr.,1920-1982,Beery~jr.,Noah,M,1913,,R:easy going sidekick,USA
Wallace Beery,1916-1949,Beery,Wallace,M,1880,,"R:tough, ugly, slow-thinking, easy-going",USA
Hagan Beggs,,,,M,,,unknown,unknown
Ed Begley,1947-1969,Begley,Ed,M,1901,,R:jovial uncle,USA
Ed Begley~jr.,1972-1979,Begley~jr.,Ed,M,,,R:character actor,USA
Harry Belafonte,1953-1974,Belafonte,Harry,M,1927,,R:ballad singer,USA
Charles Belcher,,,,M,,,unknown,unknown
Barbara BelGeddes,1947,Lewis,Barbara Geddes,F,,,R:placid,USA
Ann Bell,1962-1980,Bell,Ann,F,,,R:character,british
James Bell,1932-1963,Bell,James,M,1891,,R:character,USA
Marie Bell,1928-1966,Bellon-Downey,Marie-Jeanne,F,1900,,R:distinguished,french
Rex Bell,1930,Bell,Rex,M,,,R:cowboy,USA
Tom Bell,1961-1978,Bell,Tom,M,1933,,"R:gaunt, lead",british
Madge Bellamy,1923-1928,Philpott,Margaret,F,1903,,R:general purpose,USA
Ralph Bellamy,1931-1983,Bellamy,Ralph,M,1904,,R:rich `other man',USA
Harry Bellaver,1940-1980,Bellaver,Harry,M,1905,,"R:cop, small-time gangster or cabbie",USA
Kathleen Beller,1974-1983,Beller,Kathleen,F,1955,,R:lead,USA
Agostina Belli,,,,M,,,unknown,unknown
Olga Bellin,,,,F,,,unknown,unknown
JeanPaul Belmondo,1958-1983,Belmondo,Jean,M,1933,,R:interesting but unhandsome lead,french
Belmonts,,,,,,,unknown,unknown
Lionel Belmore,1915-1940,Belmore,Lionel,M,1867,,R:portly,british
Richard Beltran,,,,M,,,unknown,unknown
Robert Beltran,,,,M,,,unknown,unknown
Jim Belushi,,,,M,,,unknown,unknown
John Belushi,1978-1981,Belushi,John,M,1949,,R:overweight comic,USA
Richard Belzer,,,,M,,,unknown,unknown
Pat Benatar,,,,F,,,R:singer,
Brian Benben,,,,M,,,unknown,unknown
Robert Benchley,1933-1946,Benchley,Robert,M,1889,,R:lovable bumbler,USA
William Bendix,1942-1965,Bendix,William,M,1906,,R:sweet tough,USA
Billy Benedict,1935-1976,Benedict,Billy,M,1906,,"R:an original `Bowery Boy', now cabby bartender",USA
Dirk Benedict,1975-1983,Niewoehner,Dirk,M,1945,,R:lead,USA
Paul Benedict,,,,M,,,unknown,unknown
Richard Benedict,1946-1960,Benedetto,Riccardo,M,1916,,R:heavy,USA
Annette Bening,1990-1991,Bening,Annette,F,,,R:sex kitten,USA
Richard Benjamin,1953-1982,Benjamin,Richard,M,1938,,R:diffident,USA
Alma Bennett,1914-1930,Bennett,Belle,F,1889,,R:silent vamp,USA
Barbara Bennett,1929-1930,Bennett,Barbara,F,1902,,R:silent lead,USA
Belle Bennett,1918-1931,Bennett,Belle,F,1891,,R:silent lead,USA
Bruce Bennett,1934-1961,Brix,Herman,M,1909,,R:athletic,USA
Constance Bennett,1922-1965,Bennett,Constance,F,1904,,R:worldly,USA
Hywel Bennett,1966-1980,Bennett,Hywel,M,1944,,R:innocent,\Br; Welsh
Jill Bennett,1953-1982,Bennett,Jill,F,1944,,"R:emancipated, unusual",british
Joan Bennett,1915-1978,Bennett,Joan,F,1910,,R:attractive,USA
Joe Bennett,,,,M,,,unknown,unknown
John Bennett,1959-1977,Bennett,John,M,1928,,R:swarthy,british
Marjorie Bennett,1947-1976,Bennett,Marjorie,F,1894,,R:bathing beauty,USA
Richard Bennett,1923-1943,Bennett,Richard,M,1873,,R:dapper,USA
Annette Benning,1993,Benning,Anette,F,1958,,R:lively,USA
Jack Benny,1929-1967,Kubelsky,Benjamin,M,1894,,R:reproachful comedian,USA
Martin Benson,1949-1981,Benson,Martin,M,1918,,R:smooth crook,british
Robby Benson,1973-1982,Segal,Robert,M,1956,,R:cute juvenile,USA
Michael Bentine,1966,Bentine,Michael,M,1922,,R:goonish,\Br-Peruvian
Barbi Benton,,,,F,,,R:playboy girl,
Susanne Benton,,,,F,,,unknown,unknown
Iris Berben,,,,F,,,unknown,unknown
Tom Berenger,1977-1983,Berenger,Tom,M,1950,,R:brooding,USA
Marisa Berenson,1972-1981,Berenson,Marisa,F,1946,,R:fashion model,unknown
Judith-Marie Bergan,,,,F,,,unknown,unknown
Candice Bergen,1966-1982,Bergen,Candice,F,1946,,R:stylish,USA
Polly Bergen,1950-1970,Burgin,Nellie,F,1929,,R:singer,USA
William Bergen,,,,M,,,unknown,unknown
Helmut Berger,1969-1977,Steinberger,Helmut,M,1944,,"R:sinister, handsome",austria
Katya Berger,,,,F,,,unknown,unknown
Senta Berger,1957-1977,Berger,Senta,F,1941,,R:lead,austria
Sidney Berger,,,,M,1962,,unknown,unknown
William Berger,,,,M,,,unknown,unknown
Jacques Bergerac,1957-1965,Bergerac,Jacques,M,1927,,R:lead,french
Herbert Berghof,1952-1980,Berghof,Herbert,M,1909,,R:character,austria
Ingrid Bergman,1934-1978,Bergman,Ingrid,F,1915,,"R:innocent, strong beauty",\Sw
Harold Bergman,,,,M,,,unknown,unknown
Henry Bergman,,,,M,,,unknown,unknown
Sandahl Bergman,,,,,,,unknown,unknown
Tracy Bergman,,,,,,,unknown,unknown
Elisabeth Bergner,1924-1979,Ettel,Elisabeth,F,1898,,R:fey gamine,german
Thommy Bergren,,,,M,,,unknown,unknown
Steven Berkoff,,,,M,,,unknown,unknown
Milton Berle,1937-1980,Berlinger,Mendel,M,1908,,R:brash comic,USA
Irving Berlin,1943,Baline,Israel,M,1888,,R:singer,USA
Jennie Berlin,1972,Berlin,Jean,F,,,unknown,USA
Shelley Berman,1964-1970,Berman,Shelley,M,1926,,R:cabaret monologuist,USA
Susan Berman,,,,F,,,unknown,unknown
Jason Bernhard,,,,M,,,unknown,unknown
Sandra Bernhard,1982-1992,Bernhard,Sandra,F,,,R:elegant sexy,USA
Sarah Bernhardt,1923,Bernhard,Sarah,F,1844,,"R:heroine, courtesan",french
Herschel Bernardi,1937-1976,Bernardi,Herschel,M,1923,,"R:balding, beaming cop or gangster",USA
Sarah Bernhardt,1900-1923,Bernard,Rosalie,F,1844,,R:dignified,french
Elizabeth Berridge,,,,F,,,unknown,unknown
Phillip Berrigan,,,,M,,,unknown,unknown
Chuck Berry,,,,M,,,unknown,unknown
Jules Berry,1934-1947,Paufichet,Jules,M,1883,,"R:Saturnine, character",french
Ken Berry,1970-1974,Berry,Ken,M,1933,,R:bird-like comic hero,USA
Michael Berryman,,,,M,,,unknown,unknown
Marina Berti,1949-1977,Berti,Marina,F,1928,,R:lead,italian
Bibi Besch,,,,F,,,unknown,unknown
Eugenie Besserer,1912-1933,Besserer,Eugenie,F,1870,,R:character,USA
Edna Best,1921-1948,Best,Edna,F,1900,,R:maternal,british
Willie Best,1930-1955,Best,Willie,M,1916,,R:goggled-eyed servant,USA
Barbara Bestar,,,,F,,,unknown,unknown
Jack Beutel,,,,M,,,unknown,unknown
Turhan Bey,dow,Bey,Turhan,M,19aa,,R:romantic sheik,\Ct
Richard Beymer,1952-1983,Beymer,Richard,M,1939,,R:juvenile lead,
Daniela Bianchi,1959-1968,Bianchi,Daniela,F,1942,,R:lead,
Charles Bickford,1929-1966,Bickford,Charles,M,1889,,"R:rugged, projected sincerity and warmth",USA
Michael Biehn,,,,M,,,unknown,unknown
Ramon Bieri,,,,M,,,unknown,unknown
Theodore Bikel,1951-1976,Bikel,Theodore,M,1924,,"R:heavily-built, can play most nationalities",austria
Tony Bill,1963-1980,Bill,Tony,M,1940,,R:light lead,USA
Peter Billingsley,,,,M,,,unknown,unknown
Herman Bing,1929-1946,Bing,Herman,M,1889,,"R:plump,explosive comedy",german
Geoff Binney,,,,M,,,unknown,unknown
Edward Binns,1951-1979,Binns,Edward,M,,,"R:solid, character",USA
Julliette Binoche,1987,Binoche,Julliette,F,1964,,R:charming lead,french
Paul Birch,1953-1967,Birch,Paul,M,1900,,R:burly,USA
Brad Bird,,,,M,,,unknown,unknown
Norman Bird,1954-1981,Bird,Norman,M,1920,,R:underdog,british
David Birney,1973-1982,Birney,David,M,1944,,R:lead,USA
Jennifer Bishop,,,,F,,,unknown,unknown
Pat Bishop,,,,,,,unknown,unknown
Julie Bishop,1933-1957,Brown,Jacqueline,F,1914,,R:lead,USA
Whit Bissell,1943-1966,Bissell,Whit,M,1919,,R:attorneys to garage attendant,USA
Jacqueline Bisset,1964-1988,Bisset,Jacqueline,F,1944,,R:lead,british
Bonnie Bittner,,,,F,,,unknown,unknown
Bill Bixby,1962-1983,Bixby,Bill,M,1934,,R:diffident light lead,USA
Gunnar Bjornstrand,1952-1982,"Gunnar Bj\""ornstrand",Gunnar,M,19aa,,R:lead,\Sw
Karen Black,1967-1983,Ziegeler,Karen,F,1942,,R:lead,USA
Honor Blackman,1947-1978,Blackman,Honor,F,1926,,"R:`charm school' product, `English rose', later kinky and judo",british
Joan Blackman,1961-1966,Blackman,Joan,F,1938,,R:lead,USA
Sidney Blackmer,1929-1968,Blackmer,Sidney,M,1895,,R:suave,USA
Ruben Blades,1988-1991,Blades,,Ruben M,1948,,R:singer,\Pa  namanian
Gerard Blain,1954-1980,Blain,Gerard,M,1930,,R:equiv.of James Dean,french
Vivian Blaine,1942-1983,Stapleton,Vivienne,F,1921,,R:vivacious,USA
Betsy Blair,1947-1973,Boger,Elizabeth,F,1923,,R:shy and nervous,USA
Janet Blair,1941-1972,Lafferty,Martha,F,1921,,R:vivacious,USA
Linda Blair,1974-1981,Blair,Linda,F,1959,,R:possessed child,USA
Amanda Blake,1956,Blake,Amanda,F,,,R:wife,\Ct
Jon Blake,,,,M,,,unknown,unknown
Mary Blake,,McDonald,Blossom,F,1896,,R: best friend,USA
Robert Blake,1943-1983,Gubitosi,Michael (Bobby),M,1933,,R:unusual roles,USA
Whitney Blake,1959,Blake,Whitney,F,19aa,,R:sr,\Ct
Colin Blakely,1960-1983,Blakely,Colin,M,1930,,R:stocky,british
Susan Blakely,1972-1980,Blakely,Susan,F,1950,,R:lead,USA
Ronee Blakley,1975-1981,Blakley,Ronee,F,1946,,R:pop singer,USA
Michel Blanc,1990,Blanc,Michel,M,,,unknown,french
Pierre Blanchar,1923-1958,Blanchar,Pierre,M,1892,,R:distinguished,french
Alan Blanchard,,,,M,,,unknown,unknown
Mari Blanchard,1950-1964,Blanchard,Mary,F,1927,,R:decorative,USA
Pierre Blanchard,,,,M,,,unknown,unknown
Clara Blandick,1930-1950,Blandick,Clara,F,1880,,"R:sensible, no-nonsense",USA
Sally Blane,1927-1949,Jung,Elizabeth,F,1910,,R:lead,USA
Mark Blankfield,,,,M,,,unknown,unknown
Roger Blay,,,,M,,,unknown,unknown
Debra Blee,,,,F,,,unknown,unknown
Brian Blessed,1970-1983,Blessed,Brian,M,1937,,R:massive,british
Bernard Blier,1937-1982,Blier,Bernard,M,1916,,R:plump and bald,\Ar-\Fr
Dan Blocker,1963-1972,Blocker,Dan,M,1928,,R:heavyweight,USA
Michael Blodgett,,,,M,,,unknown,unknown
Joan Blondell,1930-1979,Blondell,Joan,F,1909,,R:blonde dame,USA
Claire Bloom,1948-1981,Bloom,Claire,F,1931,,R:lead,british
Verna Bloom,1969-1980,Bloom,Verna,F,,,R:lead,USA
Eric Blore,1920-1954,Blore,Eric,M,1887,,"R:unctuous or insulting butlers, eccentric types",british
Monte Blue,1916-1954,Blue,Monte,M,1890,,R:burly hero,USA
Ann Blyth,1944-1957,Blyth,Ann,F,1928,,R:diminutive,USA
Betty Blythe,1920-1964,Slaughter,Elizabeth Blythe,F,1893,,R:lead,USA
John Blythe,1944-1969,Blythe,John,M,1921,,R:spiv types,british
Eleanor Boardman,1922-1934,Boardman,Eleanor,F,1898,,R:sympathetic,USA
Hart Bochner,,,,M,,,unknown,unknown
Lloyd Bochner,1963-1981,Bochner,Lloyd,M,1924,,R:lead,canada
Carl Boehm,1952-1974,Boehm,Karlheinz,M,1928,,"R:blond, handsome",german
Paul Boensh~III,,,,M,,,unknown,unknown
Dirk Bogarde,1947-1981,Van Den Bogaerd,Derek,M,1921,,R:character,british
Humphrey Bogart,1930-1956,Bogart,\FN{Humphrey DeForest,M,1899,,R:tough,USA
Roman Bohnen,1937-1948,Bohnen,Roman,M,1894,,R:hard-working immigrant type,USA
Richard Bohringer,1990,,,M,,,unknown,unknown
Curt Bois,1937-1954,Bois,Curt,M,1900,,R:head waiters and pompous clerks,german
Mary Boland,1916-1950,Boland,Mary,F,1880,,R:fluttery matrons,USA
Ray Bolger,1936-1984,Bolger,Ray,M,1904,,R:rubber-legged eccentric dancer,USA
Tiffany Bolling,1977-1977,Bolling,Tiffany,F,,,R:lead,USA
Joseph Bologna,1971-1979,Bologna,Joseph,M,1938,,unknown,USA
Fortunio Bonanova,1932-1969,Bonanova,Fortunio,M,1893,,R:impresario,spain
Derek Bond,1946-1971,Bond,Derek,M,1919,,R:lead,british
Lillian Bond,1931-1955,Bond,Lillian,F,1910,,R:lead,british
Sudie Bond,,,,F,,,unknown,unknown
Ward Bond,1930-1960,Bond,Ward,M,1903,,R:burly,USA
Natalya Bondartchuk,,,,F,,,unknown,unknown
Sergei Bondartchuk,1948-1982,Bondartchuk,Sergei,M,1920,,unknown,russian
Beulah Bondi,1931-1971,Bondy,Beulah,F,1889,,R:old lady,USA
Peter Bonerz,,,,M,,,unknown,unknown
Sandrine Bonnaire,1983-1990,Bonnaire,Sandrine,F,1967,,R:quiet beauty,french
Beverly Bonner,,,,F,,,unknown,unknown
Val\'erie Bonnier,,,,F,,,unknown,unknown
Sonny Bono,,Bono,Salvatore,M,1940,,R:comedian,unknown
Bonzo,1951-1952,Bonzo,,A,,,R:chimpanzee,
Pat Boone,1957-1970,Boone,Pat,M,1934,,R:gentle-mannered,USA
Richard Boone,1951-1972,Boone,Richard,M,1917,,"R:craggy, menacing roles",USA
John Boorman,1978-1978,Boorman,John,M,1933,,unknown,british
Connie Booth,,,,F,,,unknown,unknown
1960-1978,Geeves-Booth,David,M,1930,\UN,,\Br,
Shirley Booth,1952-1973,Booth,Thelma Ford,F,1907,,R:middle-aged roles,USA
Powers Boothe,1980-1983,Boothe,Powers,M,,,R:overpowering,USA
Paola Borboni,,,,F,,,unknown,unknown
Matt Borel,,,,M,,,unknown,unknown
Veda Ann Borg,1936-1960,Borg,Veda,F,1915,,R:archetypal hard-boiled blonde,USA
Dirk Borgarde,,,,M,,,unknown,unknown
Victor Borge,1943,Borge,Victor,M,,,R:humerous pianist,denmark
Nelly Borgeaud,,,,F,,,unknown,unknown
Ernest Borgnine,1951-1984,Borgnino,Ermes,M,1915,,R:forceful,USA
Tom Bosley,1946-1976,Bosley,Tom,M,1927,,R:plump,USA
Barry Bostwick,1971-1980,Bostwick,Barry,M,1946,,"R:personable, tall",USA
Benjamin Bottoms,,,,M,,,unknown,unknown
Joseph Bottoms,1974-1981,Bottoms,Joseph,M,1954,,R:juvenile,USA
Sam Bottoms,1971-1979,Bottoms,Sam,M,1960,,R:lead,USA
Timothy Bottoms,1971-1980,Bottoms,Timothy,M,1949,,R:lead,USA
Barbara Bouchet,1965-1976,Gutscher,Barbara,F,1943,,R:glamour girl,\Ge\Am
Daniel Boulanger,,,,M,,,unknown,unknown
Mathew Boulton,,,,M,,,unknown,unknown
Carole Bouquet,,,,F,,,unknown,unknown
Michel Bouquet,1947-1978,Bouquet,Michel,M,1926,,R:general purpose,french
Charon Bourke,,,,,,,unknown,unknown
Phillip Bourneuf,1944-1970,Bourneuf,Phillip,M,1912,,R:older school,USA
Julie Bovasso,,,,F,,,unknown,unknown
Tony Bova,,,,M,,,unknown,unknown
Clara Bow,1922-1933,Bow,Clara,F,1905,,"R:flapper, the `it' girl",USA
Dorris Bowdon,1939-1942,Bowdon,Dorris,F,1915,,R:lead,USA
Elizabeth Bowen,,,,F,,,unknown,unknown
Roger Bowen,,,,M,,,unknown,unknown
Malick Bowes,,,,M,,,unknown,unknown
David Bowie,1976-1983,Jones,David Robert,M,1947,,"R:musician, bizarrely decorated, makes curious forays",british
Judy Bowker,1973-1981,Bowker,Judy,F,1954,,R:lead,british
Lee Bowman,1936-1964,Bowman,Lee,M,1910,,R:light lead,USA
Bruce Boxleitner,1975-1983,Boxleitner,Bruce,M,1950,,R:lead,USA
Dorothy Boyd,,,,F,,,unknown,unknown
Guy Boyd,,,,M,,,unknown,unknown
Stephen Boyd,1955-1977,Millar,William,M,1928,,R:lead,ireland
William Boyd,1919-1948,Boyd,William,M,1895,,R:Hopalong Cassidy,USA
William `Stage' Stage,1932-1933,Boyd,William `Stage',M,,,R:lead,USA
Charles Boyer,1920-1964,Boyer,Charles,M,1899,,R:romantic,french
Peter Boyle,1968-1983,Boyle,Peter,M,1933,,"R:rotund, balding",USA
The Bowery Boys,1942,,,G,1942,,R:young hooligans,USA
Reizel Bozyk,1988,Bozyk,Reizel,F,1914,,R:Jewish mother,\Po
Marcel Bozzuffi,1969-1981,Bozzuffi,Marcel,M,1929,,R:balding,french
Eddie Bracken,1940-1953,Bracken,Eddie,M,1920,,R:nervous hayseed,USA
Jean Bradin,1928,,,M,,,unknown,unknown
Terry Bradshaw,,,,,,,unknown,unknown
Alice Brady,1916-1939,Brady,Alice,F,1892,,"R:fluttery society matron, drab housewife",USA
Pat Brady,,Brady,Pat,M,,,R:cowboy,USA
Rob Brady,,,,M,,,unknown,unknown
Scott Brady,1948-1971,Tierney,Gerald,M,1924,,R:tough-looking,
Sonia Braga,1988,Braga,Sonia,F,,,R:sexy,british
Dame Lilian Braithwaite,1915-1947,Braithwaite,Dame Lilian,F,1873,,R:distinguished,british
Wilfrid Brambell,1976-1968,Brambell,Wilfrid,M,1912,,R:grotesque,USA
Kenneth Branagh,1998,Branagh,Kenneth,M,1960,,unknown,unknown
Miriam Brickman,1963-1977,Brickman,Miriam,F,dob,,unknown,\GB
Wilford Brimley,1982-1985,Brimley,A.Wilford,M,,,R:friendly,USA
Kenneth Branagh,,,,M,,,R:competent,
Neville Brand,1949-1980,Brand,Neville,M,1921,,"R:thickset, Red Indian, gangster",USA
Klaus Maria Brandauer,1983-1990,Brandauer,Klaus Maria,M,1944,,R:hero,german
Marlon Brando,1950-1980,Brando,Marlon,M,1924,,R:modern male,USA
Henry Brandon,1934-1975,Kleinbach,Henry,M,1912,,"R:character, menace",USA
Michael Brandon,1970-1979,Brandon,Michael,M,,,R:lead,USA
Betsy Brantley,,Brantley,Betsy,F,,,R:friendly,USA
Claude Brasseur,1960-1979,Brasseur,Claude,M,1936,,unknown,french
Pierre Brasseur,1928-1968,Brasseur,Pierre,M,1903,,R:distinguished,french
Rossano Brazzi,1948-1981,Brazzi,Rossano,M,1916,,R:handsome wimp,italian
Larry Breeding,,,,M,,,unknown,unknown
Hanna Brejchova,,,,F,,,unknown,unknown
El Brendel,1926-1956,Brendel,El,M,1890,,"R:mild-mannered, fake Swede",USA
Eileen Brennan,1967-1980,Brennan,Eileen,F,1935,,R:brassy,USA
Walter Brennan,1929-1972,Brennan,Walter,M,1894,,R:country wit,USA
Eve Brent,1955-1957,Brent,Eve,F,1930,,R:lead,USA
Evelyn Brent,1919-1948,Riggs,Mary Elizabeth,F,1899,,R:lead,USA
George Brent,1930-1978,Nolan,George Brent,M,1904,,R:tough,ireland
Timothy Brent,,,,M,,,unknown,unknown
Edmund Breon,1930-1951,McLaverty,Edmund,M,1882,,"R:beaming, monocled, amiable bumbler",british
Patricia Breslin,1961-1962,bn,fn,F,,,R:good,USA
Felix Bressart,1931-1949,Bressart,Felix,M,1890,,R:downtrodden,german
Jeremy Brett,1956-1977,Huggins,Jeremy,M,1935,,R:light lead,british
JeanClaude Brialy,,Brialy,Jarn-ClaudeGn,M,,,unknown,french
David Brian,1949-1970,Brian,David,M,1914,,R:second lead,USA
Mary Brian,1924-1948,Dantzler,Louise,F,1908,,R:charming,USA
Fanny Brice,1933-1945,Borach,Fanny,F,1891,,R:plain funny girl,USA
Bricktop,1983,bn,gn,M,19aa,,R:sr,\Ct
Beau Bridges,1948-1980,Bridges,Beau,M,1941,,R:lead,USA
Jeff Bridges,1970-1982,Bridges,Jeff,M,1949,,R:lead,USA
Lloyd Bridges,1941-1982,Bridges,Lloyd,M,1913,,"R:westerns, melodramas",USA
Wilford Brimley,,Brimley,A. Wilford,M,,,unknown,unknown
Carl Brisson,1927-1935,Pedersen,Carl,M,1895,,R:lead,denmark
May Britt,1952-1977,Wilkens,Maybritt,F,1933,,R:lead,\Sw
Morgan Brittany,1962-1980,Cupito,Susanne,F,1953,,R:lead,USA
Barbara Britton,1940-1954,Crukor,Barbara Brantingham,F,1920,,R:lead,USA
Pamela Britton,1945-1974,Britton,Pamela,F,1923,,R:lightweight,USA
Tony Britton,1952-1976,Britton,Tony,M,1925,,"R:quiet, polished",british
Herman Brix,1934-1961,Brix,Herman,M,1909,,R:athletic,USA
Peter Brocco,,,,M,,,unknown,unknown
Phil Brock,,,,M,,,unknown,unknown
Gary Brockette,,,,M,,,unknown,unknown
Helen Broderick,1931-1946,Broderick,Helen,F,1890,,"R:wry-faced, comedienne",USA
James Broderick,1966-1980,Broderick,James,M,1927,,R:worried-looking,USA
Matthew Broderick,1983-1986,Broderick,Matthew,M,1951,,R:juvenile lead,USA
Steve Brodie,1945-1963,Stevens,John,M,1919,,R:tough-looking,USA
Estelle Brody,1926-1956,Brody,Estelle,F,1905,,\Am,
James Brolin,1963-1983,Brolin,James,M,1940,,R:lead,USA
J.~Edward Bromberg,1936-1950,Bromberg,J.~Edward,M,1903,,"R:plump, wide-eyed",hungary
John Bromfield,1948-1957,Bromfield,John,M,1922,,R:second lead,USA
Eleanor Bron,1965-1969,Bron,Eleanor,F,1934,,R:Bloomsburish,british
Charles Bronson,1951-1983,Buchinski,Charles,M,1922,,"R:somber, sturdy",USA
Clive Brook,1919-1963,Brook,Clifford,M,1887,,R:perfect gentleman,british
Faith Brook,1942-1980,Brook,Faith,F,1922,,unknown,british
Hillary Brooke,1937-1955,Peterson,Beatrice,F,1914,,R:statuesque,USA
Albert Brooks,1985-1994,Einstein,Albert Lawrence,M,1947,,R:cool comic,USA
Elisabeth Brooks,,,,F,,,unknown,unknown
Geraldine Brooks,1947-1966,Stroock,Geraldine,F,1925,,R:intense,USA
Hildy Brooks,,,,F,,,unknown,unknown
James L. Brooks,,Brooks,James L.,M,,,unknown,unknown
Louise Brooks,1926-1935,,,F,,,unknown,\Ct
Mel Brooks,1969-1983,Kaminsky,Melvin,M,1926,,R:offbeat,USA
Phyllis Brooks,1934-1945,Weiler,Phyllis,F,1914,,R:blonde,USA
Rand Brooks,1939-1974,Brooks,Rand,M,1918,,R:lead,USA
Ray Brooks,1962-1974,Brooks,Ray,M,1939,,R:lead,british
Edward S. Brophy,1930-1958,Brophy,Edward S.,M,1895,,"R:gangster, odd valet",USA
Pierce Brosnan,1991,,,M,1952,,R:proper,
Antonia Brough,,,,F,,,unknown,unknown
Mary Brough,1914-1933,Brough,Mary,F,1863,,"R:battleaxe, suspicious landlady",british
Blair Brown,1977-1983,Brown,Blair,F,1948,,R:lead,USA
Bruce Brown,,,,M,,,unknown,unknown
Bryan Brown,1979-1982,Brown,Bryan,M,1947,,R:lead,australian
Eric Brown,,,,M,,,unknown,unknown
Foxy Brown,1974,Brown,Juanita,F,,,unknown,unknown
Gary Brown,,,,M,,,unknown,unknown
Gaye Brown,,,,F,,,unknown,unknown
George Stanford Brown,1967-1974,Brown,George,M,1943,,R:character,USA
Georgia Brown,1967-1974,Klot,Georgia,F,1933,,R:cabaret songstress,british
James Brown,1942-1976,Brown,James,M,1920,,R:westerns,USA
Janet Brown,,,,F,,,unknown,unknown
Jim Brown,1964-1981,Brown,Jim,M,1936,,R:lead,USA
Joe E. Brown,1928-1963,Brown,Joe E.,M,1892,,R:hollow-cheeked comic,USA
